Date,Player,Active Play Time,Mine Ancient Debris,Horse Rode,Deaths
2022-08-31,Rozenkwarts,889200,0,1426869,
2022-08-31,Jornmeijsen,3360000,11,,
2022-08-31,RedPolygon,2623200,0,579,
2022-08-31,iesdwoet,2215200,8,2894564,
2022-08-31,ngc_,4071600,0,23372,
2022-08-31,TuinSlipper,684000,0,3691,
2022-08-31,LuckyLuke1112,1414800,0,,
2022-09-01,Japi247,974400,0,,
2022-09-01,Rozenkwarts,889200,0,1426869,
2022-09-01,Jornmeijsen,3360000,11,,
2022-09-01,RedPolygon,2623200,0,579,
2022-09-01,iesdwoet,2215200,8,2894564,
2022-09-01,ngc_,4284000,0,23372,
2022-09-01,TuinSlipper,684000,0,3691,
2022-09-01,LuckyLuke1112,1563600,0,,
2022-09-02,Japi247,974400,0,,
2022-09-02,Rozenkwarts,889200,0,1426869,
2022-09-02,Jornmeijsen,3547200,11,,
2022-09-02,RedPolygon,2874000,0,579,
2022-09-02,iesdwoet,2235600,8,2894564,
2022-09-02,ngc_,4532400,0,23372,
2022-09-02,TuinSlipper,792000,0,3691,
2022-09-02,LuckyLuke1112,1848000,1,,
2022-09-03,Japi247,974400,0,,
2022-09-03,Rozenkwarts,889200,0,1426869,
2022-09-03,Jornmeijsen,3712800,11,,
2022-09-03,RedPolygon,3150000,0,579,
2022-09-03,iesdwoet,2318400,8,2894564,
2022-09-03,ngc_,4600800,0,23372,
2022-09-03,TuinSlipper,860400,0,3691,
2022-09-03,LuckyLuke1112,1848000,1,,
2022-09-04,Japi247,974400,0,,
2022-09-04,Rozenkwarts,889200,0,1426869,
2022-09-04,Jornmeijsen,3712800,11,,
2022-09-04,RedPolygon,3364800,0,579,
2022-09-04,iesdwoet,2318400,8,2894564,
2022-09-04,ngc_,4642800,0,23372,
2022-09-04,TuinSlipper,874800,0,3691,
2022-09-04,LuckyLuke1112,1848000,1,,
2022-09-05,Japi247,974400,0,,
2022-09-05,Rozenkwarts,889200,0,1426869,
2022-09-05,Jornmeijsen,3712800,11,,
2022-09-05,RedPolygon,3547200,0,579,
2022-09-05,iesdwoet,2318400,8,2894564,
2022-09-05,ngc_,4735200,0,23372,
2022-09-05,TuinSlipper,874800,0,3691,
2022-09-05,LuckyLuke1112,1848000,1,,
2022-09-06,Japi247,974400,0,,
2022-09-06,Rozenkwarts,889200,0,1426869,
2022-09-06,Jornmeijsen,3712800,11,,
2022-09-06,RedPolygon,3547200,0,579,
2022-09-06,iesdwoet,2318400,8,2894564,
2022-09-06,ngc_,4735200,0,23372,
2022-09-06,TuinSlipper,874800,0,3691,
2022-09-06,LuckyLuke1112,1848000,1,,
2022-09-07,Japi247,974400,0,,
2022-09-07,Rozenkwarts,889200,0,1426869,
2022-09-07,Jornmeijsen,3712800,11,,
2022-09-07,RedPolygon,3547200,0,579,
2022-09-07,iesdwoet,2318400,8,2894564,
2022-09-07,ngc_,4761600,0,23372,
2022-09-07,TuinSlipper,874800,0,3691,
